student_id,grade,choice1_1,choice1_2,choice1_3,choice1_4,choice1_5,choice2_1,choice2_2,choice2_3,choice2_4,choice2_5,choice3_1,choice3_2,choice3_3,choice3_4,choice3_5,choice4_1,choice4_2,choice4_3,choice4_4,choice4_5
S056,10,C110,C102,C107,C103,C105,C106,C107,C110,C104,C105,C107,C105,C110,C109,C103,C108,C102,C107,C103,C104
S057,12,C102,C104,C108,C109,C101,C105,C102,C104,C101,C106,C102,C109,C107,C105,C108,C106,C108,C105,C102,C101
S058,9,C104,C106,C107,C108,C103,C110,C105,C107,C101,C109,C108,C106,C109,C103,C104,C103,C108,C110,C109,C106
S059,11,C101,C109,C108,C106,C105,C105,C101,C110,C109,C106,C110,C106,C101,C103,C104,C101,C102,C108,C110,C104
S060,9,C109,C105,C106,C102,C107,C109,C104,C106,C108,C107,C104,C103,C109,C102,C110,C107,C103,C102,C110,C108
S061,9,C109,C106,C110,C102,C105,C101,C108,C106,C110,C109,C103,C110,C109,C102,C104,C104,C101,C108,C106,C109
S062,11,C102,C107,C110,C101,C105,C110,C101,C107,C102,C106,C105,C103,C107,C102,C104,C103,C104,C108,C110,C101
S063,11,C104,C105,C103,C102,C101,C104,C103,C102,C101,C107,C110,C103,C104,C109,C108,C109,C110,C103,C105,C102
S064,9,C110,C106,C104,C108,C109,C105,C102,C110,C103,C106,C106,C104,C107,C101,C103,C104,C106,C107,C110,C103
S065,12,C102,C110,C108,C107,C104,C102,C107,C110,C108,C105,C106,C110,C101,C108,C107,C101,C108,C102,C106,C107
S066,9,C104,C102,C110,C101,C109,C105,C102,C108,C106,C101,C108,C110,C103,C107,C105,C107,C102,C108,C110,C106
S067,10,C105,C107,C101,C103,C109,C110,C105,C108,C106,C102,C105,C103,C110,C107,C108,C108,C109,C106,C102,C101
S068,9,C107,C104,C105,C106,C101,C106,C104,C110,C102,C107,C107,C106,C109,C101,C105,C101,C102,C104,C106,C109
S069,9,C108,C104,C103,C106,C110,C110,C104,C103,C107,C108,C104,C107,C106,C108,C105,C105,C107,C102,C101,C104
S070,11,C102,C107,C103,C109,C110,C102,C110,C106,C109,C103,C104,C106,C101,C103,C108,C102,C107,C109,C105,C104
S071,11,C105,C110,C101,C104,C107,C109,C110,C107,C108,C101,C102,C108,C105,C107,C106,C102,C109,C104,C105,C107
S072,11,C104,C109,C110,C105,C103,C106,C110,C103,C108,C107,C106,C102,C109,C101,C105,C105,C104,C109,C101,C108
S073,11,C110,C108,C107,C109,C103,C107,C102,C103,C105,C109,C107,C106,C104,C103,C102,C108,C109,C101,C107,C104
S074,10,C105,C101,C103,C108,C109,C102,C101,C109,C105,C107,C109,C108,C107,C101,C105,C106,C109,C108,C107,C104
S075,10,C109,C108,C105,C101,C106,C110,C101,C102,C109,C103,C104,C108,C102,C103,C109,C103,C107,C108,C110,C109
S076,9,C102,C108,C103,C109,C101,C104,C106,C110,C109,C103,C102,C107,C105,C104,C106,C104,C110,C107,C103,C102
S077,11,C105,C109,C102,C108,C103,C110,C109,C108,C105,C103,C108,C106,C104,C107,C103,C110,C108,C105,C104,C107
S078,11,C101,C107,C106,C104,C105,C110,C105,C104,C107,C108,C102,C104,C108,C106,C110,C107,C110,C106,C102,C105
S079,10,C108,C104,C109,C102,C110,C104,C102,C106,C103,C108,C104,C107,C101,C109,C103,C101,C103,C105,C109,C108
S080,11,C105,C106,C110,C102,C103,C102,C110,C107,C108,C106,C103,C110,C105,C108,C102,C108,C106,C109,C101,C110
S081,12,C105,C106,C109,C104,C101,C101,C109,C110,C105,C104,C101,C106,C104,C110,C107,C110,C107,C104,C109,C108
S082,11,C105,C102,C101,C107,C108,C105,C103,C104,C107,C108,C108,C103,C105,C107,C101,C102,C104,C105,C101,C110
S083,9,C109,C105,C103,C110,C102,C101,C109,C108,C102,C107,C108,C110,C104,C107,C101,C102,C109,C108,C104,C103
S084,11,C106,C109,C101,C103,C102,C101,C103,C109,C106,C110,C105,C103,C107,C104,C110,C101,C104,C105,C108,C102
S085,10,C106,C107,C108,C104,C103,C101,C104,C103,C109,C108,C110,C104,C105,C106,C109,C105,C101,C106,C108,C104
S086,11,C105,C101,C102,C109,C110,C106,C105,C101,C109,C103,C109,C108,C106,C101,C110,C104,C110,C101,C108,C107
S087,9,C106,C104,C108,C103,C107,C106,C101,C103,C102,C109,C107,C101,C103,C104,C109,C103,C108,C109,C102,C105
S088,11,C108,C101,C105,C104,C110,C107,C109,C110,C104,C108,C110,C108,C104,C109,C101,C107,C105,C102,C101,C106
S089,9,C110,C103,C107,C108,C102,C108,C106,C104,C101,C110,C101,C108,C110,C106,C103,C105,C108,C104,C107,C102
S090,9,C108,C105,C103,C109,C107,C101,C103,C107,C109,C106,C108,C107,C110,C104,C106,C109,C104,C105,C106,C108
S091,10,C101,C105,C103,C109,C106,C110,C105,C104,C102,C109,C102,C105,C103,C101,C110,C102,C105,C104,C110,C103
S092,11,C108,C110,C105,C106,C103,C105,C103,C102,C107,C101,C106,C102,C110,C103,C105,C105,C101,C107,C102,C106
S093,11,C109,C108,C101,C110,C107,C105,C106,C107,C110,C101,C104,C102,C109,C110,C101,C101,C105,C110,C106,C103
S094,10,C109,C103,C110,C102,C104,C108,C110,C103,C102,C105,C101,C105,C104,C110,C109,C107,C101,C102,C108,C106
S095,10,C102,C109,C105,C106,C110,C103,C105,C109,C110,C106,C102,C110,C106,C104,C109,C109,C103,C102,C104,C101
S096,9,C102,C110,C108,C103,C101,C109,C104,C101,C107,C102,C105,C103,C101,C104,C108,C101,C104,C106,C105,C109
S097,10,C106,C102,C105,C108,C104,C103,C101,C105,C106,C109,C110,C107,C106,C105,C108,C109,C104,C101,C106,C110
S098,9,C110,C109,C101,C104,C108,C109,C110,C103,C101,C104,C104,C109,C102,C105,C103,C102,C103,C109,C101,C106
S099,12,C108,C104,C109,C101,C110,C101,C106,C105,C108,C107,C108,C110,C107,C109,C105,C108,C109,C103,C101,C105
S100,10,C101,C110,C104,C103,C109,C101,C104,C103,C110,C108,C105,C106,C104,C109,C101,C102,C110,C101,C109,C103
S101,12,C102,C107,C104,C108,C103,C106,C107,C104,C101,C108,C109,C108,C107,C101,C104,C103,C110,C107,C109,C108
S102,12,C102,C109,C104,C103,C101,C106,C109,C104,C105,C110,C101,C105,C104,C110,C103,C105,C110,C104,C102,C106
S103,11,C105,C104,C109,C110,C103,C106,C103,C107,C105,C110,C108,C109,C105,C106,C101,C107,C103,C105,C101,C109
S104,10,C109,C103,C101,C102,C108,C108,C104,C102,C103,C107,C105,C107,C102,C110,C103,C108,C106,C107,C101,C105
S105,12,C107,C105,C109,C110,C103,C109,C103,C106,C108,C101,C107,C110,C103,C102,C101,C102,C101,C107,C105,C110
S106,12,C102,C103,C101,C106,C110,C104,C108,C109,C103,C107,C109,C102,C110,C101,C104,C109,C106,C101,C104,C110
S107,9,C108,C106,C101,C110,C107,C108,C101,C102,C105,C103,C105,C107,C104,C101,C106,C103,C105,C107,C110,C102
S108,9,C109,C106,C102,C107,C110,C107,C101,C106,C105,C109,C105,C101,C106,C109,C104,C101,C102,C104,C110,C105
S109,9,C108,C102,C109,C101,C107,C104,C110,C105,C109,C102,C105,C103,C104,C108,C102,C108,C107,C106,C103,C109
S110,10,C109,C110,C104,C107,C108,C107,C110,C101,C104,C105,C110,C109,C101,C105,C103,C109,C107,C104,C110,C106
S111,10,C102,C107,C104,C101,C105,C108,C105,C110,C104,C103,C104,C109,C101,C105,C110,C102,C104,C101,C106,C103
S112,9,C106,C103,C105,C107,C109,C103,C101,C108,C105,C107,C108,C101,C110,C104,C103,C102,C106,C103,C105,C110
S113,12,C104,C107,C106,C108,C103,C109,C107,C101,C104,C103,C107,C102,C106,C109,C103,C108,C107,C101,C102,C104
S114,12,C106,C109,C105,C102,C101,C106,C104,C107,C102,C110,C106,C108,C109,C107,C103,C102,C104,C110,C108,C105
S115,12,C110,C106,C104,C103,C107,C106,C104,C105,C107,C110,C110,C107,C104,C102,C109,C106,C105,C109,C108,C104
S116,9,C102,C103,C105,C106,C110,C109,C108,C102,C107,C106,C105,C106,C103,C109,C110,C106,C102,C107,C109,C104
S117,10,C102,C103,C110,C108,C109,C102,C106,C103,C105,C108,C105,C106,C107,C110,C102,C103,C108,C110,C105,C106
S118,11,C106,C107,C108,C103,C109,C108,C106,C104,C102,C107,C108,C105,C103,C107,C102,C107,C102,C101,C108,C109
S119,9,C106,C104,C105,C103,C102,C104,C106,C108,C105,C107,C109,C104,C103,C106,C101,C110,C102,C108,C103,C107
S120,10,C107,C104,C108,C106,C103,C101,C110,C104,C107,C102,C106,C110,C101,C102,C109,C103,C107,C108,C104,C105
S121,12,C110,C109,C102,C108,C101,C108,C106,C105,C102,C104,C104,C107,C110,C103,C108,C108,C101,C107,C102,C105
S122,12,C104,C106,C109,C103,C101,C105,C103,C108,C102,C110,C108,C104,C110,C106,C107,C101,C108,C110,C109,C105
S123,9,C108,C101,C110,C104,C102,C110,C108,C102,C101,C103,C103,C110,C106,C105,C102,C103,C105,C108,C109,C107
S124,10,C105,C104,C102,C108,C107,C108,C109,C101,C107,C110,C101,C106,C107,C102,C110,C101,C105,C108,C110,C102
S125,11,C110,C108,C105,C103,C101,C103,C108,C109,C104,C106,C104,C107,C102,C106,C110,C110,C109,C103,C105,C104
S126,9,C101,C106,C103,C110,C108,C106,C105,C104,C107,C109,C104,C102,C101,C105,C106,C102,C110,C107,C103,C106
S127,12,C110,C109,C105,C107,C103,C110,C108,C101,C102,C104,C110,C106,C101,C103,C109,C103,C102,C110,C101,C109
S128,10,C101,C103,C105,C109,C106,C103,C101,C104,C105,C108,C107,C102,C108,C105,C109,C104,C101,C110,C106,C108
S129,10,C108,C110,C106,C109,C104,C105,C103,C110,C102,C101,C104,C106,C103,C102,C107,C102,C108,C109,C101,C110
S130,12,C108,C102,C105,C106,C103,C104,C105,C108,C110,C102,C107,C102,C108,C109,C101,C109,C106,C101,C102,C105
S131,11,C109,C104,C106,C103,C105,C105,C103,C110,C108,C107,C107,C102,C108,C103,C109,C105,C103,C109,C104,C108
S132,12,C104,C103,C105,C110,C108,C101,C102,C105,C107,C104,C104,C108,C102,C110,C109,C110,C109,C103,C101,C108
S133,9,C110,C104,C109,C103,C106,C101,C105,C106,C102,C110,C101,C102,C108,C106,C107,C107,C101,C102,C105,C109
S134,10,C101,C107,C105,C109,C103,C104,C108,C103,C105,C109,C107,C110,C101,C103,C108,C104,C107,C101,C108,C105
S135,9,C110,C101,C105,C108,C104,C110,C108,C104,C107,C102,C107,C101,C102,C110,C104,C106,C101,C108,C103,C105
S136,9,C107,C108,C109,C106,C104,C109,C101,C107,C110,C102,C105,C108,C106,C109,C107,C110,C106,C103,C101,C104
S137,9,C103,C108,C107,C109,C102,C110,C107,C109,C102,C105,C102,C103,C110,C101,C106,C110,C104,C106,C105,C103
S138,9,C107,C102,C105,C108,C109,C104,C109,C101,C105,C103,C104,C106,C109,C107,C103,C101,C102,C106,C104,C108
S139,10,C105,C108,C103,C109,C101,C102,C109,C107,C106,C101,C105,C104,C110,C103,C108,C108,C103,C109,C104,C101
S140,10,C104,C102,C108,C105,C109,C101,C109,C108,C106,C102,C104,C103,C109,C105,C102,C110,C104,C103,C108,C106
S141,10,C105,C102,C103,C101,C106,C107,C102,C110,C105,C109,C101,C103,C106,C107,C109,C105,C107,C109,C110,C103
S142,11,C109,C103,C105,C110,C107,C110,C104,C109,C103,C106,C103,C106,C109,C110,C105,C109,C104,C102,C108,C103
S143,12,C105,C109,C101,C106,C104,C101,C108,C103,C107,C104,C106,C109,C104,C108,C105,C108,C103,C102,C105,C107
S144,9,C109,C102,C104,C110,C107,C102,C106,C105,C101,C107,C103,C104,C105,C107,C110,C105,C108,C107,C104,C110
S145,12,C102,C106,C103,C109,C101,C101,C109,C107,C104,C110,C104,C105,C103,C101,C107,C108,C104,C103,C109,C107
S146,10,C107,C103,C105,C101,C104,C108,C101,C109,C103,C102,C101,C104,C105,C107,C109,C108,C105,C101,C104,C110
S147,12,C104,C107,C110,C108,C106,C108,C110,C105,C104,C106,C105,C104,C109,C110,C106,C102,C106,C103,C101,C107
S148,10,C104,C107,C102,C106,C110,C105,C110,C101,C108,C102,C109,C101,C102,C110,C105,C105,C110,C106,C103,C107
S149,12,C107,C109,C102,C105,C104,C110,C101,C104,C109,C105,C109,C106,C102,C110,C103,C105,C104,C101,C102,C110
S150,9,C104,C108,C109,C101,C106,C108,C110,C107,C105,C104,C101,C106,C107,C105,C102,C110,C108,C104,C109,C101
S151,12,C108,C106,C101,C102,C107,C108,C104,C109,C103,C102,C105,C104,C107,C102,C106,C109,C106,C110,C101,C108
S152,9,C101,C104,C108,C106,C102,C106,C102,C110,C109,C108,C101,C103,C102,C107,C106,C107,C110,C102,C106,C103
S153,10,C109,C108,C106,C103,C102,C103,C101,C108,C109,C106,C107,C101,C102,C105,C109,C110,C106,C105,C103,C104
S154,10,C104,C110,C108,C102,C103,C104,C110,C108,C103,C105,C105,C101,C104,C103,C110,C105,C101,C110,C104,C107
S155,9,C104,C110,C109,C107,C105,C109,C103,C102,C101,C107,C103,C107,C108,C101,C109,C104,C108,C101,C103,C109
S156,12,C109,C108,C102,C106,C103,C108,C106,C103,C109,C105,C110,C103,C105,C102,C108,C102,C105,C103,C104,C110
S157,12,C105,C107,C106,C101,C103,C109,C101,C104,C110,C106,C106,C108,C107,C103,C101,C104,C109,C101,C103,C105
S158,12,C102,C109,C101,C110,C108,C105,C102,C109,C104,C108,C108,C103,C102,C107,C106,C110,C107,C101,C102,C103
S159,9,C110,C109,C102,C103,C105,C107,C109,C101,C105,C106,C107,C102,C110,C104,C109,C103,C106,C110,C102,C108
S160,12,C110,C105,C109,C101,C108,C108,C101,C107,C109,C102,C108,C101,C110,C103,C109,C110,C105,C107,C104,C101
S161,12,C105,C101,C103,C106,C107,C101,C108,C104,C106,C103,C102,C104,C105,C108,C110,C102,C108,C106,C109,C110
S162,11,C107,C109,C106,C104,C102,C109,C104,C108,C106,C105,C106,C110,C105,C108,C109,C109,C107,C106,C104,C101
S163,9,C107,C109,C108,C105,C106,C104,C101,C103,C105,C106,C105,C101,C106,C104,C103,C106,C107,C105,C103,C104
S164,10,C102,C106,C105,C101,C103,C104,C106,C102,C109,C107,C104,C109,C110,C105,C106,C104,C106,C105,C110,C108
S165,9,C105,C103,C104,C107,C106,C106,C105,C101,C108,C109,C109,C107,C105,C110,C104,C102,C106,C110,C101,C103
S166,9,C104,C109,C103,C105,C107,C108,C107,C103,C110,C105,C103,C105,C107,C104,C101,C102,C106,C110,C103,C107
S167,10,C105,C104,C109,C101,C102,C110,C107,C109,C103,C108,C103,C104,C107,C108,C109,C109,C108,C110,C106,C107
S168,9,C105,C106,C109,C104,C110,C109,C103,C108,C102,C105,C110,C107,C105,C103,C106,C106,C107,C103,C109,C105
S169,12,C106,C104,C110,C107,C103,C102,C101,C110,C109,C107,C102,C108,C103,C105,C109,C106,C105,C109,C107,C104
S170,10,C109,C110,C103,C105,C107,C101,C105,C102,C106,C103,C110,C103,C102,C104,C107,C103,C110,C109,C105,C108
S171,11,C105,C107,C108,C106,C101,C108,C103,C105,C104,C102,C106,C105,C103,C102,C104,C108,C106,C101,C104,C107
S172,11,C101,C103,C110,C108,C107,C108,C105,C107,C101,C103,C110,C106,C103,C105,C104,C104,C110,C107,C109,C108
S173,11,C102,C103,C110,C107,C109,C102,C104,C108,C101,C107,C102,C103,C108,C104,C106,C102,C107,C110,C101,C103
S174,10,C101,C103,C105,C104,C102,C107,C110,C102,C105,C109,C108,C109,C103,C101,C106,C107,C109,C110,C102,C105
S175,10,C102,C106,C107,C104,C105,C101,C106,C102,C109,C105,C106,C108,C109,C103,C104,C107,C109,C102,C105,C103
S176,12,C105,C101,C107,C109,C103,C105,C103,C101,C110,C106,C105,C102,C109,C108,C106,C106,C109,C103,C101,C110
S177,11,C102,C108,C104,C105,C101,C102,C105,C104,C103,C110,C105,C109,C110,C106,C104,C103,C105,C101,C107,C109
S178,12,C105,C103,C102,C106,C107,C107,C110,C102,C101,C105,C109,C103,C106,C104,C101,C104,C103,C107,C101,C109
S179,9,C101,C105,C104,C109,C106,C105,C109,C104,C110,C101,C107,C106,C102,C104,C110,C109,C107,C103,C101,C105
S180,11,C107,C105,C104,C110,C106,C107,C102,C101,C108,C104,C108,C110,C101,C109,C107,C108,C110,C109,C103,C105
S181,11,C103,C109,C104,C107,C102,C105,C101,C102,C109,C110,C109,C104,C106,C101,C108,C107,C106,C108,C104,C110
S182,9,C106,C101,C109,C104,C103,C104,C105,C110,C108,C106,C103,C110,C101,C109,C108,C102,C109,C104,C108,C110
S183,11,C107,C109,C105,C102,C108,C106,C109,C103,C101,C108,C109,C106,C103,C104,C107,C106,C107,C110,C104,C105
S184,9,C107,C102,C108,C106,C103,C102,C106,C105,C107,C109,C110,C101,C109,C108,C104,C102,C107,C106,C104,C103
S185,10,C105,C110,C107,C106,C104,C103,C110,C101,C109,C107,C106,C105,C108,C107,C102,C108,C102,C106,C109,C105
S186,11,C106,C101,C110,C105,C104,C110,C105,C101,C108,C106,C103,C108,C105,C106,C110,C101,C108,C105,C109,C104
S187,10,C109,C101,C107,C110,C104,C108,C109,C110,C102,C103,C107,C101,C103,C104,C110,C102,C108,C103,C101,C105
S188,12,C106,C101,C103,C104,C105,C104,C103,C110,C107,C105,C110,C105,C108,C106,C103,C102,C106,C104,C108,C101
S189,10,C108,C105,C102,C101,C106,C110,C106,C101,C104,C102,C108,C105,C103,C102,C101,C102,C104,C108,C101,C105
S190,11,C103,C109,C106,C101,C108,C104,C105,C102,C110,C101,C109,C110,C104,C107,C105,C105,C106,C107,C108,C109
S191,12,C106,C104,C110,C101,C105,C101,C102,C108,C106,C109,C102,C106,C104,C103,C105,C106,C109,C110,C107,C102
S192,9,C110,C101,C106,C103,C107,C108,C107,C110,C105,C106,C107,C102,C103,C110,C109,C104,C107,C103,C106,C109
S193,12,C104,C105,C109,C102,C106,C106,C101,C107,C110,C105,C104,C102,C107,C109,C101,C102,C104,C101,C109,C106
S194,12,C102,C108,C110,C106,C104,C107,C108,C109,C103,C102,C106,C108,C105,C104,C103,C106,C101,C109,C107,C105
S195,10,C101,C106,C109,C107,C104,C110,C103,C109,C105,C101,C102,C110,C106,C103,C104,C102,C101,C108,C107,C106
S196,12,C108,C107,C102,C106,C105,C102,C110,C104,C103,C108,C105,C110,C109,C104,C102,C102,C103,C108,C106,C110
S197,9,C104,C105,C108,C109,C106,C110,C105,C103,C106,C102,C109,C104,C110,C103,C102,C106,C102,C108,C103,C109
S198,12,C101,C103,C107,C106,C104,C101,C108,C106,C104,C105,C106,C110,C105,C107,C103,C103,C107,C109,C105,C104
S199,12,C110,C103,C106,C104,C109,C105,C106,C103,C102,C110,C110,C109,C108,C103,C101,C105,C108,C110,C103,C107
S200,10,C105,C109,C107,C102,C108,C107,C108,C103,C106,C105,C104,C107,C106,C103,C105,C104,C108,C110,C105,C103
