term_code,crn,subject,course_number,section,title,credits,capacity,enrolled,seats_remaining,waitlist_capacity,waitlist_count,instructors,meetings,notes
"{""code"":202502,""description"":""Spring 2026""}",20008,"{""code"":""AFR"",""description"":""Africana Studies""}",330,A,Decolonizing Develop in Africa,1,,,25,,,"[{""first_name"":""Takiyah"",""last_name"":""Harper-Shipman"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2],""weekdays"":""T"",""start_time"":""1340"",""end_time"":""1620"",""class_time"":""0140 - 0420pm"",""room"":""1006"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20611,"{""code"":""AFR"",""description"":""Africana Studies""}",336,A,Politics of Joy,1,,,25,,,"[{""first_name"":""Vanessa"",""last_name"":""Castaneda"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[3],""weekdays"":""W"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""111"",""building"":{""code"":""CUNN"",""description"":""Cunningham Fine Arts""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20633,"{""code"":""AFR"",""description"":""Africana Studies""}",495,A,Africana Capstone,1,,,25,,,"[{""first_name"":""Takiyah"",""last_name"":""Harper-Shipman"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20699,"{""code"":""AFR"",""description"":""Africana Studies""}",498,A,Listening at the Margins,1,,,25,,,"[{""first_name"":""Hilary"",""last_name"":""Green"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20012,"{""code"":""ANT"",""description"":""Anthropology""}",210,A,Maroon Societies,1,,,25,,,"[{""first_name"":""Brittany"",""last_name"":""Brown"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1215"",""end_time"":""1330"",""class_time"":""1215 - 0130pm"",""room"":""2068"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20013,"{""code"":""ANT"",""description"":""Anthropology""}",234,A,Urban Africa/Popular Culture,1,,,25,,,"[{""first_name"":""Laurian"",""last_name"":""Bowles"",""campus_id"":""AUTHORIZATION_REQUIRED""},{""first_name"":""Alice"",""last_name"":""Wiemers"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1340"",""end_time"":""1455"",""class_time"":""0140 - 0255pm"",""room"":""HANCE"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20564,"{""code"":""ANT"",""description"":""Anthropology""}",261,A,"Science, Policy, and Society",1,,,25,,,"[{""first_name"":""Fuji"",""last_name"":""Lozada"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""1030"",""end_time"":""1120"",""class_time"":""1030 - 1120am"",""room"":""109"",""building"":{""code"":""CUNN"",""description"":""Cunningham Fine Arts""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20014,"{""code"":""ANT"",""description"":""Anthropology""}",263,A,Racial Justice Seminar ,1,,,25,,,"[{""first_name"":""Laurian"",""last_name"":""Bowles"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0940"",""end_time"":""1055"",""class_time"":""0940 - 1055am"",""room"":""153"",""building"":{""code"":""DANA"",""description"":""Dana Science Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20015,"{""code"":""ANT"",""description"":""Anthropology""}",273,A,Bioarchaeology,1,,,25,,,"[{""first_name"":""Helen"",""last_name"":""Cho"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""0930"",""end_time"":""1020"",""class_time"":""0930 - 1020am"",""room"":""2198"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20016,"{""code"":""ANT"",""description"":""Anthropology""}",283,A,Spec Topics in ANT: Folklore,1,,,25,,,"[{""first_name"":""Matt"",""last_name"":""Samson"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""0930"",""end_time"":""1020"",""class_time"":""0930 - 1020am"",""room"":""3155"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20017,"{""code"":""ANT"",""description"":""Anthropology""}",327,A,Religion in Latin America,1,,,25,,,"[{""first_name"":""Matt"",""last_name"":""Samson"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3],""weekdays"":""MW"",""start_time"":""1430"",""end_time"":""1545"",""class_time"":""0230 - 0345pm"",""room"":""1096"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20018,"{""code"":""ANT"",""description"":""Anthropology""}",373,A,Decolonizing Anthro Theory,1,,,25,,,"[{""first_name"":""Brittany"",""last_name"":""Brown"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1505"",""end_time"":""1620"",""class_time"":""0305 - 0420pm"",""room"":""3106"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20019,"{""code"":""ANT"",""description"":""Anthropology""}",374,A,Methods in Forensic Anthro,1,,,25,,,"[{""first_name"":""Helen"",""last_name"":""Cho"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[5],""weekdays"":""F"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""2196"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20020,"{""code"":""ANT"",""description"":""Anthropology""}",378,A,Artifacts and Archives,1,,,25,,,"[{""first_name"":""Brittany"",""last_name"":""Brown"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[3],""weekdays"":""W"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""B022"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20802,"{""code"":""ANT"",""description"":""Anthropology""}",398,A,Housing & Gentrification,1,,,25,,,"[{""first_name"":""Laurian"",""last_name"":""Bowles"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20801,"{""code"":""ANT"",""description"":""Anthropology""}",499,A,Honors Thesis,1,,,25,,,"[{""first_name"":""Laurian"",""last_name"":""Bowles"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20021,"{""code"":""ARB"",""description"":""Arab Studies""}",102,A,Elementary Arabic II,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""1030"",""end_time"":""1120"",""class_time"":""1030 - 1120am"",""room"":""3234"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]","[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]"
"{""code"":202502,""description"":""Spring 2026""}",20024,"{""code"":""ARB"",""description"":""Arab Studies""}",202,A,Intermediate Arabic II,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""0930"",""end_time"":""1020"",""class_time"":""0930 - 1020am"",""room"":""3234"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]","[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]"
"{""code"":202502,""description"":""Spring 2026""}",20784,"{""code"":""ARB"",""description"":""Arab Studies""}",295,A,Politics Through NA Media,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20731,"{""code"":""ARB"",""description"":""Arab Studies""}",394,A,Arabic Media & Politics,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20663,"{""code"":""ARB"",""description"":""Arab Studies""}",395,A,Arabic and Education,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20695,"{""code"":""ARB"",""description"":""Arab Studies""}",395,C, Politics Through Satire,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20659,"{""code"":""ARB"",""description"":""Arab Studies""}",396,A,Arab Diasporic Politics,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20672,"{""code"":""ARB"",""description"":""Arab Studies""}",396,B,Accelerated Persian,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20812,"{""code"":""ARB"",""description"":""Arab Studies""}",396,C,Arabic Economics,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20831,"{""code"":""ARB"",""description"":""Arab Studies""}",396,D,Honor & Shame in Arab Society,1,,,25,,,"[{""first_name"":""Rebecca"",""last_name"":""Joubin"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20027,"{""code"":""ART"",""description"":""Art""}",101,A,Basic Drawing,1,,,25,,,"[{""first_name"":""Luis"",""last_name"":""Sahagun"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1],""weekdays"":""M"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""203"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]"
"{""code"":202502,""description"":""Spring 2026""}",20028,"{""code"":""ART"",""description"":""Art""}",101,B,Basic Drawing,1,,,25,,,"[{""first_name"":""Luis"",""last_name"":""Sahagun"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1],""weekdays"":""M"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""203"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]"
"{""code"":202502,""description"":""Spring 2026""}",20029,"{""code"":""ART"",""description"":""Art""}",101,C,Basic Drawing,1,,,25,,,"[{""first_name"":""Tyler"",""last_name"":""Starr"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0940"",""end_time"":""1055"",""class_time"":""0940 - 1055am"",""room"":""203"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]"
"{""code"":202502,""description"":""Spring 2026""}",20030,"{""code"":""ART"",""description"":""Art""}",101,D,Basic Drawing,1,,,25,,,"[{""first_name"":""Tyler"",""last_name"":""Starr"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0940"",""end_time"":""1055"",""class_time"":""0940 - 1055am"",""room"":""203"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]"
"{""code"":202502,""description"":""Spring 2026""}",20031,"{""code"":""ART"",""description"":""Art""}",104,A,Asian Art After 1000,1,,,25,,,"[{""first_name"":""Yukina"",""last_name"":""Zhang"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1215"",""end_time"":""1330"",""class_time"":""1215 - 0130pm"",""room"":""117"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20032,"{""code"":""ART"",""description"":""Art""}",111,A,Introduction to Digital Art,1,,,25,,,"[{""first_name"":""Joelle"",""last_name"":""Dietrick"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0940"",""end_time"":""1055"",""class_time"":""0940 - 1055am"",""room"":""212"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]"
"{""code"":202502,""description"":""Spring 2026""}",20033,"{""code"":""ART"",""description"":""Art""}",111,B,Introduction to Digital Art,1,,,25,,,"[{""first_name"":""Joelle"",""last_name"":""Dietrick"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0940"",""end_time"":""1055"",""class_time"":""0940 - 1055am"",""room"":""212"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]"
"{""code"":202502,""description"":""Spring 2026""}",20034,"{""code"":""ART"",""description"":""Art""}",203,A,Advanced Painting,1,,,25,,,"[{""first_name"":""Katie"",""last_name"":""St Clair"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1],""weekdays"":""M"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""214"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]"
"{""code"":202502,""description"":""Spring 2026""}",20035,"{""code"":""ART"",""description"":""Art""}",205,A,Advanced Printmaking,1,,,25,,,"[{""first_name"":""Tyler"",""last_name"":""Starr"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1215"",""end_time"":""1330"",""class_time"":""1215 - 0130pm"",""room"":""104"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]"
"{""code"":202502,""description"":""Spring 2026""}",20037,"{""code"":""ART"",""description"":""Art""}",211,A,Advanced Digital Art,1,,,25,,,"[{""first_name"":""Joelle"",""last_name"":""Dietrick"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1215"",""end_time"":""1330"",""class_time"":""1215 - 0130pm"",""room"":""212"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]"
"{""code"":202502,""description"":""Spring 2026""}",20587,"{""code"":""ART"",""description"":""Art""}",233,A,The Arts Along the Silk Roads,1,,,25,,,"[{""first_name"":""Yukina"",""last_name"":""Zhang"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3],""weekdays"":""MW"",""start_time"":""1430"",""end_time"":""1545"",""class_time"":""0230 - 0345pm"",""room"":""117"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20039,"{""code"":""ART"",""description"":""Art""}",248,A,From Agra to Istanbul,1,,,25,,,"[{""first_name"":""Lyla"",""last_name"":""Halsted"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1340"",""end_time"":""1455"",""class_time"":""0140 - 0255pm"",""room"":""117"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20040,"{""code"":""ART"",""description"":""Art""}",300,A,Critical Theory for Vis. Stud,1,,,25,,,"[{""first_name"":""John"",""last_name"":""Corso-Esquivel"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""0830"",""end_time"":""0920"",""class_time"":""0830 - 0920am"",""room"":""108"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20041,"{""code"":""ART"",""description"":""Art""}",301,A,Topics in Sculpture,1,,,25,,,"[{""first_name"":""Luis"",""last_name"":""Sahagun"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[3],""weekdays"":""W"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""106"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20625,"{""code"":""ART"",""description"":""Art""}",301,B,Topics in Sculpture,1,,,25,,,"[{""first_name"":""Luis"",""last_name"":""Sahagun"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2],""weekdays"":""T"",""start_time"":""1340"",""end_time"":""1620"",""class_time"":""0140 - 0420pm"",""room"":""106"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20042,"{""code"":""ART"",""description"":""Art""}",348,A,Buying and Collecting Art,1,,,25,,,"[{""first_name"":""Lyla"",""last_name"":""Halsted"",""campus_id"":""AUTHORIZATION_REQUIRED""},{""first_name"":""Lia"",""last_name"":""Newman"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1505"",""end_time"":""1620"",""class_time"":""0305 - 0420pm"",""room"":""108"",""building"":{""code"":""VAC"",""description"":""Visual Arts Center""}}]","[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]"
"{""code"":202502,""description"":""Spring 2026""}",20806,"{""code"":""ART"",""description"":""Art""}",390,A,Independent Study,1,,,25,,,"[{""first_name"":""John"",""last_name"":""Corso-Esquivel"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20807,"{""code"":""ART"",""description"":""Art""}",390,B,20th Century Art,1,,,25,,,"[{""first_name"":""John"",""last_name"":""Corso-Esquivel"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20854,"{""code"":""ART"",""description"":""Art""}",390,C,Sasanian Art,1,,,25,,,"[{""first_name"":""Lyla"",""last_name"":""Halsted"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20835,"{""code"":""ART"",""description"":""Art""}",391,B,Material Study,1,,,25,,,"[{""first_name"":""Katie"",""last_name"":""St Clair"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
"{""code"":202502,""description"":""Spring 2026""}",20836,"{""code"":""ART"",""description"":""Art""}",391,C,"Water, Ice, Paint",1,,,25,,,"[{""first_name"":""Katie"",""last_name"":""St Clair"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[],""weekdays"":"""",""start_time"":null,""end_time"":null,""class_time"":""TBA "",""room"":null,""building"":null}]",
